Timestamp;User_X;User_Y;User_Z;Obj_X;Obj_Y;Obj_Z;Rel_Dist
0,520;0,0000;1,1176;0,0000;0,0000;1,1176;1,2000;1,2000
0,579;0,0000;1,1176;0,0000;0,0000;1,0941;1,2000;1,2002
0,636;0,0000;1,1176;0,0000;0,0000;1,0352;1,2000;1,2028
0,695;0,0000;1,1176;0,0000;0,0000;0,9410;1,2000;1,2129
0,748;0,0000;1,1176;0,0000;0,0000;0,8115;1,2000;1,2384
0,799;0,0000;1,1176;0,0000;0,0000;0,7056;1,2000;1,2688
0,856;0,0000;1,1176;0,0000;0,0000;0,5172;1,2000;1,3418
0,911;0,0000;1,1176;0,0000;0,0000;0,2936;1,2000;1,4557
0,963;0,0000;1,1176;0,0000;0,0000;0,0346;1,2000;1,6165
1,016;0,0000;1,1176;0,0000;0,0000;-0,1577;1,2000;1,7511
1,071;0,0000;1,1176;-0,0216;0,0000;-0,4755;1,2000;2,0076
1,126;0,0000;1,1176;-0,0767;0,0000;-0,8287;1,2000;2,3277
1,176;0,0000;1,1176;-0,1272;0,0000;-1,0838;1,2000;2,5705
1,228;0,0000;1,1176;-0,1802;0,0000;-1,4958;1,2000;2,9554
1,283;0,0000;1,1176;-0,2333;0,0000;-1,9431;1,2000;3,3797
1,333;0,0000;1,1176;-0,2840;0,0000;-2,2610;1,2000;3,6901
1,386;0,0000;1,1176;-0,3380;0,0000;-2,7672;1,2000;4,1781
1,437;0,0000;1,1176;-0,3883;0,0000;-3,1242;1,2000;4,5295
1,489;0,0000;1,1176;-0,4400;0,0000;-3,6893;1,2000;5,0789
1,542;0,0000;1,1176;-0,4921;0,0000;-4,2897;1,2000;5,6659
1,595;0,0000;1,1176;-0,5473;0,0000;-4,7095;1,2000;6,0835
1,648;0,0000;1,1176;-0,6008;0,0000;-5,3688;1,2000;6,7317
1,699;0,0000;1,1176;-0,6495;0,0000;-5,8279;1,2000;7,1875
1,752;0,0000;1,1176;-0,7043;0,0000;-6,5460;1,2000;7,8966
1,805;0,0000;1,1176;-0,7571;0,0000;-7,2994;1,2000;8,6415
1,856;0,0000;1,1176;-0,8078;0,0000;-7,8213;1,2000;9,1616
1,908;0,0000;1,1176;-0,8614;0,0000;-8,6335;1,2000;9,9666
1,962;0,0000;1,1176;-0,9128;0,0000;-9,4811;1,2000;10,8073
2,013;0,0000;1,1176;-0,9653;0,0000;-10,0658;1,2000;11,3911
2,067;0,0000;1,1176;-1,0188;0,0000;-10,9722;1,2000;12,2918
2,119;0,0000;1,1176;-1,0713;0,0000;-11,5962;1,2000;12,9150
2,171;-0,0356;1,1176;-1,1238;0,0000;-12,5615;1,2000;13,8751
2,223;-0,0867;1,1176;-1,1749;0,0000;-13,5621;1,2000;14,8708
2,275;-0,1393;1,1176;-1,2275;0,0000;-14,2488;1,2000;15,5576
2,328;-0,1916;1,1176;-1,2798;0,0000;-15,3083;1,2000;16,6131
2,380;-0,2448;1,1176;-1,3330;0,0000;-16,0342;1,2000;17,3396
2,431;-0,2954;1,1176;-1,3836;0,0000;-17,1525;1,2000;18,4543
2,483;-0,3473;1,1176;-1,4353;0,0000;-18,3062;1,2000;19,6048
2,537;-0,4037;1,1176;-1,4856;0,0000;-19,0949;1,2000;20,3942
2,591;-0,4635;1,1176;-1,5336;0,0000;-20,3074;1,2000;21,6037
2,642;-0,5221;1,1176;-1,5754;0,0000;-21,5553;1,2000;22,8481
2,696;-0,5853;1,1176;-1,6157;0,0000;-22,4068;1,2000;23,6995
2,750;-0,6515;1,1176;-1,6508;0,0000;-23,7135;1,2000;25,0027
2,802;-0,7215;1,1176;-1,6816;0,0000;-25,0555;1,2000;26,3411
2,853;-0,7868;1,1176;-1,7094;0,0000;-25,9698;1,2000;27,2545
2,907;-0,8597;1,1176;-1,7320;0,0000;-27,3706;1,2000;28,6516
2,960;-0,9341;1,1176;-1,7430;0,0000;-28,3242;1,2000;29,6032
3,013;-1,0088;1,1176;-1,7426;0,0000;-29,7839;1,2000;31,0577
3,065;-1,0828;1,1176;-1,7377;0,0000;-31,2789;1,2000;32,5475
3,116;-1,1547;1,1176;-1,7296;0,0000;-32,2953;1,2000;33,5609
3,168;-1,2267;1,1176;-1,7151;0,0000;-33,8492;1,2000;35,1095
3,220;-1,2998;1,1176;-1,6998;0,0000;-34,9047;1,2000;36,1622
3,270;-1,3675;1,1176;-1,6856;0,0000;-36,5175;1,2000;37,7703
3,324;-1,4411;1,1176;-1,6669;0,0000;-38,1655;1,2000;39,4140
3,376;-1,5102;1,1176;-1,6446;0,0000;-39,2839;1,2000;40,5296
3,428;-1,5821;1,1176;-1,6193;0,0000;-40,9908;1,2000;42,2323
3,481;-1,6522;1,1176;-1,5946;0,0000;-42,7331;1,2000;43,9707
3,531;-1,7177;1,1176;-1,5715;0,0000;-43,9142;1,2000;45,1497
3,582;-1,7873;1,1176;-1,5471;0,0000;-45,7153;1,2000;46,9474
3,637;-1,8592;1,1176;-1,5215;0,0000;-46,9357;1,2000;48,1662
3,690;-1,9298;1,1176;-1,4964;0,0000;-48,7956;1,2000;50,0233
3,744;-2,0029;1,1176;-1,4703;0,0000;-50,6909;1,2000;51,9160
3,797;-2,0737;1,1176;-1,4451;0,0000;-51,9741;1,2000;53,1980
3,850;-2,1440;1,1176;-1,4201;0,0000;-53,9282;1,2000;55,1498
3,902;-2,2119;1,1176;-1,3959;0,0000;-55,9177;1,2000;57,1372
3,955;-2,2828;1,1176;-1,3706;0,0000;-57,2636;1,2000;58,4824
4,008;-2,3534;1,1176;-1,3444;0,0000;-59,3120;1,2000;60,5289
4,059;-2,4224;1,1176;-1,3182;0,0000;-60,6971;1,2000;61,9134
4,113;-2,4390;1,1176;-1,3119;0,0000;-62,8043;1,2000;64,0177
4,164;-2,4390;1,1176;-1,3119;0,0000;-64,9468;1,2000;66,1571
4,216;-2,4511;1,1176;-1,3073;0,0000;-66,3948;1,2000;67,6034
4,270;-2,5215;1,1176;-1,2806;0,0000;-68,5961;1,2000;69,8034
4,322;-2,5904;1,1176;-1,2540;0,0000;-70,8328;1,2000;72,0388
4,375;-2,6595;1,1176;-1,2272;0,0000;-72,3435;1,2000;73,5493
4,428;-2,7299;1,1176;-1,1999;0,0000;-74,6391;1,2000;75,8438
4,481;-2,8000;1,1176;-1,1726;0,0000;-76,9699;1,2000;78,1737
4,533;-2,8676;1,1176;-1,1453;0,0000;-78,5435;1,2000;79,7472
4,585;-2,9355;1,1176;-1,1168;0,0000;-80,9332;1,2000;82,1360
4,635;-2,9410;1,1176;-1,1144;0,0000;-82,5459;1,2000;83,7472
4,687;-2,9410;1,1176;-1,1144;0,0000;-84,9945;1,2000;86,1934
4,737;-2,9585;1,1176;-1,1068;0,0000;-86,6465;1,2000;87,8443
4,788;-3,0252;1,1176;-1,0780;0,0000;-89,1540;1,2000;90,3510
4,843;-3,0916;1,1176;-1,0492;0,0000;-91,6967;1,2000;92,8930
4,895;-3,0916;1,1176;-1,0492;0,0000;-93,4115;1,2000;94,6064
4,949;-3,0916;1,1176;-1,0492;0,0000;-96,0131;1,2000;97,2060
4,999;-3,1013;1,1176;-1,0248;0,0000;-97,7672;1,2000;98,9584
5,050;-3,1167;1,1176;-0,9859;0,0000;-100,4276;1,2000;101,6166
5,101;-3,1167;1,1176;-0,9859;0,0000;-103,1234;1,2000;104,3105
5,157;-3,0959;1,1176;-0,9776;0,0000;-104,9402;1,2000;106,1254
5,212;-3,0959;1,1176;-0,9776;0,0000;-107,6949;1,2000;108,8783
5,262;-3,0959;1,1176;-0,9776;0,0000;-110,4849;1,2000;111,6666
5,313;-3,0959;1,1176;-0,9776;0,0000;-112,3645;1,2000;113,5452
5,365;-3,0959;1,1176;-0,9776;0,0000;-115,2133;1,2000;116,3924
5,418;-3,0959;1,1176;-0,9776;0,0000;-117,1321;1,2000;118,3103
5,469;-3,0959;1,1176;-0,9776;0,0000;-120,0398;1,2000;121,2165
5,522;-3,0959;1,1176;-0,9776;0,0000;-122,9828;1,2000;124,1581
5,575;-3,0959;1,1176;-0,9776;0,0000;-124,9644;1,2000;126,1388
5,625;-3,0959;1,1176;-0,9776;0,0000;-127,9663;1,2000;129,1394
5,680;-3,0959;1,1176;-0,9776;0,0000;-131,0035;1,2000;132,1753
5,730;-3,0959;1,1176;-0,9776;0,0000;-133,0479;1,2000;134,2189
5,784;-3,0815;1,1176;-0,9719;0,0000;-136,1439;1,2000;137,3133
5,836;-3,0538;1,1176;-0,9608;0,0000;-138,2276;1,2000;139,3954
5,889;-3,0538;1,1176;-0,9608;0,0000;-141,3825;1,2000;142,5492
5,942;-3,0538;1,1176;-0,9608;0,0000;-144,5727;1,2000;145,7383
5,993;-3,0538;1,1176;-0,9608;0,0000;-146,7191;1,2000;147,8840
6,047;-3,0538;1,1176;-0,9608;0,0000;-149,9682;1,2000;151,1321
6,099;-3,0538;1,1176;-0,9608;0,0000;-152,1539;1,2000;153,3171
6,151;-3,0538;1,1176;-0,9608;0,0000;-155,4618;1,2000;156,6241
6,204;-3,0538;1,1176;-0,9608;0,0000;-158,8051;1,2000;159,9664
6,254;-3,0538;1,1176;-0,9608;0,0000;-161,0535;1,2000;162,2143
6,306;-3,0538;1,1176;-0,9608;0,0000;-164,4556;1,2000;165,6155
6,357;-3,0538;1,1176;-0,9608;0,0000;-166,7433;1,2000;167,9026
6,408;-3,0538;1,1176;-0,9608;0,0000;-170,2043;1,2000;171,3627
6,458;-3,0538;1,1176;-0,9608;0,0000;-172,5313;1,2000;173,6891
6,509;-3,0538;1,1176;-0,9608;0,0000;-176,0511;1,2000;177,2082
6,562;-3,0538;1,1176;-0,9608;0,0000;-179,6062;1,2000;180,7625
6,612;-3,0538;1,1176;-0,9608;0,0000;-181,9960;1,2000;183,1518
6,665;-3,0538;1,1176;-0,9608;0,0000;-185,6100;1,2000;186,7650
6,717;-3,0538;1,1176;-0,9608;0,0000;-188,0389;1,2000;189,1935
6,768;-3,0538;1,1176;-0,9608;0,0000;-191,7118;1,2000;192,8657
6,818;-3,0538;1,1176;-0,9608;0,0000;-194,1800;1,2000;195,3334
6,870;-3,0538;1,1176;-0,9608;0,0000;-197,9117;1,2000;199,0645
6,920;-3,0538;1,1176;-0,9608;0,0000;-200,4192;1,2000;201,5715
6,973;-3,0538;1,1176;-0,9608;0,0000;-204,2098;1,2000;205,3614
7,024;-3,0538;1,1176;-0,9608;0,0000;-208,0357;1,2000;209,1867
7,074;-3,0341;1,1176;-0,9529;0,0000;-210,6059;1,2000;211,7562
7,125;-2,9875;1,1176;-0,9343;0,0000;-214,4907;1,2000;215,6395
7,177;-2,9386;1,1176;-0,9147;0,0000;-217,1001;1,2000;218,2478
7,229;-2,8975;1,1176;-0,8791;0,0000;-221,0438;1,2000;222,1900
7,281;-2,8681;1,1176;-0,8104;0,0000;-225,0227;1,2000;226,1674
7,333;-2,8395;1,1176;-0,7438;0,0000;-227,6950;1,2000;228,8384
7,386;-2,8190;1,1176;-0,6958;0,0000;-231,7328;1,2000;232,8751
7,439;-2,8190;1,1176;-0,6958;0,0000;-234,4442;1,2000;235,5863
7,490;-2,8190;1,1176;-0,6958;0,0000;-238,5409;1,2000;239,6826
7,542;-2,8190;1,1176;-0,6958;0,0000;-242,6729;1,2000;243,8141
7,595;-2,8190;1,1176;-0,6958;0,0000;-245,4472;1,2000;246,5882
7,646;-2,8190;1,1176;-0,6958;0,0000;-249,6380;1,2000;250,7786
7,699;-2,8190;1,1176;-0,6958;0,0000;-252,4515;1,2000;253,5919
7,752;-2,8190;1,1176;-0,6958;0,0000;-256,7012;1,2000;257,8412
7,803;-2,8190;1,1176;-0,6958;0,0000;-260,9862;1,2000;262,1258
7,853;-2,8190;1,1176;-0,6958;0,0000;-263,8625;1,2000;265,0019
7,906;-2,8190;1,1176;-0,6958;0,0000;-268,2064;1,2000;269,3454
7,959;-2,8190;1,1176;-0,6958;0,0000;-271,1219;1,2000;272,2607
8,009;-2,8190;1,1176;-0,6958;0,0000;-275,5246;1,2000;276,6631
8,060;-2,8572;1,1176;-0,7111;0,0000;-278,4794;1,2000;279,6181
8,110;-2,9037;1,1176;-0,7297;0,0000;-282,9410;1,2000;284,0800
8,162;-2,9240;1,1176;-0,7378;0,0000;-287,4379;1,2000;288,5768
8,212;-2,9350;1,1176;-0,7422;0,0000;-290,4554;1,2000;291,5943
8,265;-2,9839;1,1176;-0,7617;0,0000;-295,0112;1,2000;296,1504
8,317;-3,0308;1,1176;-0,7805;0,0000;-298,0680;1,2000;299,2076
8,369;-3,0489;1,1176;-0,7877;0,0000;-302,6826;1,2000;303,8221
8,420;-3,0489;1,1176;-0,7877;0,0000;-305,7787;1,2000;306,9179
8,472;-3,0686;1,1176;-0,7956;0,0000;-310,4521;1,2000;311,5913
8,524;-3,1085;1,1176;-0,8116;0,0000;-315,1609;1,2000;316,3002
8,576;-3,1085;1,1176;-0,8116;0,0000;-318,3198;1,2000;319,4588
8,626;-3,1246;1,1176;-0,8180;0,0000;-323,0874;1,2000;324,2264
8,682;-3,1695;1,1176;-0,8360;0,0000;-327,8904;1,2000;329,0296
8,733;-3,1695;1,1176;-0,8360;0,0000;-331,1120;1,2000;332,2510
8,787;-3,1695;1,1176;-0,8360;0,0000;-335,9738;1,2000;337,1125
8,838;-3,1695;1,1176;-0,8360;0,0000;-339,2347;1,2000;340,3731
8,890;-3,1695;1,1176;-0,8360;0,0000;-344,1554;1,2000;345,2935
8,941;-3,1695;1,1176;-0,8360;0,0000;-349,1114;1,2000;350,2492
8,994;-3,1915;1,1176;-0,8448;0,0000;-352,4350;1,2000;353,5729
9,046;-3,2073;1,1176;-0,8511;0,0000;-357,4499;1,2000;358,5877
9,100;-3,2073;1,1176;-0,8511;0,0000;-362,5000;1,2000;363,6376
9,152;-3,2130;1,1176;-0,8534;0,0000;-365,8864;1,2000;367,0239
9,205;-3,2308;1,1176;-0,8605;0,0000;-370,9955;1,2000;372,1328
9,255;-3,2308;1,1176;-0,8605;0,0000;-374,4211;1,2000;375,5583
9,307;-3,2308;1,1176;-0,8605;0,0000;-379,5891;1,2000;380,7260
9,357;-3,2775;1,1176;-0,8792;0,0000;-383,0539;1,2000;384,1911
9,408;-3,3235;1,1176;-0,8976;0,0000;-388,2807;1,2000;389,4182
9,459;-3,3683;1,1176;-0,9155;0,0000;-391,7848;1,2000;392,9226
9,510;-3,3757;1,1176;-0,9184;0,0000;-397,0704;1,2000;398,2080
9,562;-3,3757;1,1176;-0,9184;0,0000;-402,3914;1,2000;403,5287
9,616;-3,3757;1,1176;-0,9184;0,0000;-405,9583;1,2000;407,0954
9,670;-3,3757;1,1176;-0,9184;0,0000;-411,3381;1,2000;412,4749
9,724;-3,3757;1,1176;-0,9184;0,0000;-416,7532;1,2000;417,8898
9,776;-3,3757;1,1176;-0,9184;0,0000;-420,3829;1,2000;421,5193
9,827;-3,3757;1,1176;-0,9184;0,0000;-425,8568;1,2000;426,9930
9,878;-3,3757;1,1176;-0,9184;0,0000;-429,5258;1,2000;430,6618
9,931;-3,3757;1,1176;-0,9184;0,0000;-435,0586;1,2000;436,1944
9,985;-3,3757;1,1176;-0,9184;0,0000;-440,6267;1,2000;441,7623
10,039;-3,3757;1,1176;-0,9184;0,0000;-444,3585;1,2000;445,4939
10,092;-3,3757;1,1176;-0,9184;0,0000;-449,9854;1,2000;451,1207
10,143;-3,3757;1,1176;-0,9184;0,0000;-455,6478;1,2000;456,7828
10,198;-3,3757;1,1176;-0,9184;0,0000;-459,4423;1,2000;460,5771
10,252;-3,3757;1,1176;-0,9184;0,0000;-465,1635;1,2000;466,2981
10,303;-3,3757;1,1176;-0,9184;0,0000;-470,9200;1,2000;472,0544
10,355;-3,3757;1,1176;-0,9184;0,0000;-474,7772;1,2000;475,9115
10,408;-3,3757;1,1176;-0,9184;0,0000;-480,5926;1,2000;481,7267
10,462;-3,3757;1,1176;-0,9184;0,0000;-486,4432;1,2000;487,5771
10,517;-3,3757;1,1176;-0,9184;0,0000;-490,3633;1,2000;491,4971
10,571;-3,3757;1,1176;-0,9184;0,0000;-496,2728;1,2000;497,4064
10,625;-3,3757;1,1176;-0,9184;0,0000;-502,2177;1,2000;503,3511
10,678;-3,3757;1,1176;-0,9184;0,0000;-506,2005;1,2000;507,3338
10,728;-3,3757;1,1176;-0,9184;0,0000;-512,2042;1,2000;513,3373
10,780;-3,3757;1,1176;-0,9184;0,0000;-518,2432;1,2000;519,3762
10,841;-3,3757;1,1176;-0,9184;0,0000;-524,3176;1,2000;525,4503
10,891;-3,3757;1,1176;-0,9184;0,0000;-528,3868;1,2000;529,5194
10,941;-3,3757;1,1176;-0,9184;0,0000;-534,5200;1,2000;535,6524
10,994;-3,3757;1,1176;-0,9184;0,0000;-538,6284;1,2000;539,7607
11,045;-3,3757;1,1176;-0,9184;0,0000;-544,8204;1,2000;545,9526
11,096;-3,3757;1,1176;-0,9184;0,0000;-548,9681;1,2000;550,1002
11,147;-3,3368;1,1176;-0,9027;0,0000;-555,2190;1,2000;556,3506
11,198;-3,2884;1,1176;-0,8832;0,0000;-559,4059;1,2000;560,5370
11,250;-3,2731;1,1176;-0,8770;0,0000;-565,7156;1,2000;566,8465
11,302;-3,2731;1,1176;-0,8770;0,0000;-572,0607;1,2000;573,1915
11,354;-3,2731;1,1176;-0,8770;0,0000;-576,3104;1,2000;577,4410
11,406;-3,2731;1,1176;-0,8770;0,0000;-582,7143;1,2000;583,8448
11,459;-3,2731;1,1176;-0,8770;0,0000;-587,0032;1,2000;588,1336
11,509;-3,2731;1,1176;-0,8770;0,0000;-593,4661;1,2000;594,5963
11,561;-3,2731;1,1176;-0,8770;0,0000;-599,9642;1,2000;601,0943
11,614;-3,2731;1,1176;-0,8770;0,0000;-604,3159;1,2000;605,4459
11,665;-3,2731;1,1176;-0,8770;0,0000;-610,8729;1,2000;612,0027
