Timestamp;Head_X;Head_Y;Head_Z;Head_RotX;Head_RotY;Head_RotZ;Hand_X;Hand_Y;Hand_Z;Hand_RotX;Hand_RotY;Hand_RotZ
0,020;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,159;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,195;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,201;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,207;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,217;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,226;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,234;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,241;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,249;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,258;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,265;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,270;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,276;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,281;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,302;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,324;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,343;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,363;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,383;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,404;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,426;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,442;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,461;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,483;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,502;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,534;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,550;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,565;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,588;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,606;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,621;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,650;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,665;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,685;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,703;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,727;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,741;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,765;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,783;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,804;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,821;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,843;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,862;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,884;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,905;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,924;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,945;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,963;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
0,983;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,005;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,023;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,044;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,065;0,0000;1,1176;-0,0155;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,085;0,0000;1,1176;-0,0339;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,105;0,0000;1,1176;-0,0552;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,120;0,0000;1,1176;-0,0722;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,141;0,0000;1,1176;-0,0913;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,162;0,0000;1,1176;-0,1123;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,181;0,0000;1,1176;-0,1319;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,209;0,0000;1,1176;-0,1530;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,224;0,0000;1,1176;-0,1739;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,244;0,0000;1,1176;-0,1950;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,266;0,0000;1,1176;-0,2163;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,283;0,0000;1,1176;-0,2333;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,304;0,0000;1,1176;-0,2551;0,0000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,321;0,0000;1,1176;-0,2735;0,2000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,344;0,0000;1,1176;-0,2948;0,2000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,361;0,0000;1,1176;-0,3122;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,382;0,0000;1,1176;-0,3326;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,401;0,0000;1,1176;-0,3514;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,422;0,0000;1,1176;-0,3738;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,442;0,0000;1,1176;-0,3934;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,463;0,0000;1,1176;-0,4156;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,484;0,0000;1,1176;-0,4357;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,504;0,0000;1,1176;-0,4557;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,523;0,0000;1,1176;-0,4729;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,542;0,0000;1,1176;-0,4921;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,564;0,0000;1,1176;-0,5161;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,582;0,0000;1,1176;-0,5342;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,604;0,0000;1,1176;-0,5563;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,624;0,0000;1,1176;-0,5763;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,640;0,0000;1,1176;-0,5926;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,660;0,0000;1,1176;-0,6125;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,682;0,0000;1,1176;-0,6298;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,702;0,0000;1,1176;-0,6549;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,720;0,0000;1,1176;-0,6733;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,740;0,0000;1,1176;-0,6933;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,765;0,0000;1,1176;-0,7160;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,784;0,0000;1,1176;-0,7362;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,801;0,0000;1,1176;-0,7527;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,821;0,0000;1,1176;-0,7733;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,843;0,0000;1,1176;-0,7952;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,865;0,0000;1,1176;-0,8157;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,880;0,0000;1,1176;-0,8332;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,901;0,0000;1,1176;-0,8538;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,923;0,0000;1,1176;-0,8751;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,941;0,0000;1,1176;-0,8930;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,962;0,0000;1,1176;-0,9128;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
1,983;0,0000;1,1176;-0,9346;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
2,001;0,0000;1,1176;-0,9528;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
2,021;0,0000;1,1176;-0,9735;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
2,044;0,0000;1,1176;-0,9957;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
2,062;0,0000;1,1176;-1,0132;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
2,082;0,0000;1,1176;-1,0344;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
2,103;0,0000;1,1176;-1,0553;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
2,122;0,0000;1,1176;-1,0752;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
2,142;-0,0049;1,1176;-1,0932;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
2,163;-0,0267;1,1176;-1,1149;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
2,183;-0,0471;1,1176;-1,1353;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
2,203;-0,0665;1,1176;-1,1548;0,4000;0,0000;0,0000;0,0000;1,1176;0,0000;0,0000;0,0000;0,0000
